review_text,rating,review_no_rating,tokens,clean_text
4.0 • Pretty good. Super 💫,4,Pretty good. Super 💫,"['pretty', 'good', 'super']",pretty good super
5.0 • Mind-blowing purchase. Super and cool photo,5,Mind-blowing purchase. Super and cool photo,"['mindblowing', 'purchase', 'super', 'cool', 'photo']",mindblowing purchase super cool photo
5.0 • Just wow!. Value for money,5,Just wow!. Value for money,"['wow', 'value', 'money']",wow value money
5.0 • Super!. Satisfied,5,Super!. Satisfied,"['super', 'satisfied']",super satisfied
5.0 • Highly recommended. Great phone,5,Highly recommended. Great phone,"['highly', 'recommended', 'great', 'phone']",highly recommended great phone
5.0 • Mind-blowing purchase. I love it ❤️❤️,5,Mind-blowing purchase. I love it ❤️❤️,"['mindblowing', 'purchase', 'love']",mindblowing purchase love
5.0 • Fabulous!. Nice ones,5,Fabulous!. Nice ones,"['fabulous', 'nice', 'one']",fabulous nice one
5.0 • Fabulous!. Best device from Apple ❤️ Its much smoother than the previous model,5,Fabulous!. Best device from Apple ❤️ Its much smoother than the previous model,"['fabulous', 'best', 'device', 'apple', 'much', 'smoother', 'previous', 'model']",fabulous best device apple much smoother previous model
5.0 • Wonderful. such a beautiful color 🩷🥺😍,5,Wonderful. such a beautiful color 🩷🥺😍,"['wonderful', 'beautiful', 'color']",wonderful beautiful color
5.0 • Brilliant. Doing good as of now!,5,Brilliant. Doing good as of now!,"['brilliant', 'good']",brilliant good
5.0 • Super!. Premium experience ✅,5,Super!. Premium experience ✅,"['super', 'premium', 'experience']",super premium experience
5.0 • Mind-blowing purchase. Brilliant Camera with unbeatable video performance. Tip-top performance from the A18 Chip. Literally Apple's best value offering,5,Mind-blowing purchase. Brilliant Camera with unbeatable video performance. Tip-top performance from the A18 Chip. Literally Apple's best value offering,"['mindblowing', 'purchase', 'brilliant', 'camera', 'unbeatable', 'video', 'performance', 'tiptop', 'performance', 'chip', 'literally', 'apple', 'best', 'value', 'offering']",mindblowing purchase brilliant camera unbeatable video performance tiptop performance chip literally apple best value offering
5.0 • Terrific. Such an great experience,5,Terrific. Such an great experience,"['terrific', 'great', 'experience']",terrific great experience
"5.0 • Awesome. Compact, easy to carry. Like it",5,"Awesome. Compact, easy to carry. Like it","['awesome', 'compact', 'easy', 'carry', 'like']",awesome compact easy carry like
5.0 • Must buy!. Love it,5,Must buy!. Love it,"['must', 'buy', 'love']",must buy love
5.0 • Awesome. My mom love the colour and the phone is amazing,5,Awesome. My mom love the colour and the phone is amazing,"['awesome', 'mom', 'love', 'colour', 'phone', 'amazing']",awesome mom love colour phone amazing
5.0 • Fabulous!. Absolute Beauty,5,Fabulous!. Absolute Beauty,"['fabulous', 'absolute', 'beauty']",fabulous absolute beauty
"5.0 • Mind-blowing purchase. Best phone, best feature charge, best performance, I love this iPhone 16",5,"Mind-blowing purchase. Best phone, best feature charge, best performance, I love this iPhone 16","['mindblowing', 'purchase', 'best', 'phone', 'best', 'feature', 'charge', 'best', 'performance', 'love', 'iphone']",mindblowing purchase best phone best feature charge best performance love iphone
5.0 • Wonderful. Love the quality of pics it takes,5,Wonderful. Love the quality of pics it takes,"['wonderful', 'love', 'quality', 'pic', 'take']",wonderful love quality pic take
5.0 • Mind-blowing purchase. Love uhh apple💗🎀,5,Mind-blowing purchase. Love uhh apple💗🎀,"['mindblowing', 'purchase', 'love', 'uhh']",mindblowing purchase love uhh
4.0 • Very Good. Nice camera quality Like DSLR,4,Very Good. Nice camera quality Like DSLR,"['good', 'nice', 'camera', 'quality', 'like', 'dslr']",good nice camera quality like dslr
5.0 • Best in the market!. iOS is always amazing,5,Best in the market!. iOS is always amazing,"['best', 'market', 'io', 'always', 'amazing']",best market io always amazing
4.0 • Delightful. Everything is fine except the battery should have been lasting longer and the new camera button Felt useless,4,Delightful. Everything is fine except the battery should have been lasting longer and the new camera button Felt useless,"['delightful', 'everything', 'fine', 'except', 'battery', 'lasting', 'longer', 'new', 'camera', 'button', 'felt', 'useless']",delightful everything fine except battery lasting longer new camera button felt useless
5.0 • Awesome. Great experience with great camera,5,Awesome. Great experience with great camera,"['awesome', 'great', 'experience', 'great', 'camera']",awesome great experience great camera
5.0 • Terrific purchase. Awesome..Loved It.🥰🥰,5,Terrific purchase. Awesome..Loved It.🥰🥰,"['terrific', 'purchase', 'awesomeloved']",terrific purchase awesomeloved
5.0 • Terrific purchase. Great Camera Beautiful Colour Value for Money Perfect Display,5,Terrific purchase. Great Camera Beautiful Colour Value for Money Perfect Display,"['terrific', 'purchase', 'great', 'camera', 'beautiful', 'colour', 'value', 'money', 'perfect', 'display']",terrific purchase great camera beautiful colour value money perfect display
5.0 • Simply awesome. Super,5,Simply awesome. Super,"['simply', 'awesome', 'super']",simply awesome super
5.0 • Just wow!. Fell in love with the colour,5,Just wow!. Fell in love with the colour,"['wow', 'fell', 'love', 'colour']",wow fell love colour
5.0 • Awesome. Mind blowing pictures,5,Awesome. Mind blowing pictures,"['awesome', 'mind', 'blowing', 'picture']",awesome mind blowing picture
